Order,Account,Created Date,Item
SO-0017129,CU 0100631,3/4/09,
,,,109002
,,,101135
SO-0017130,CU 0104762,3/4/09,
,,,101001
,,,302002
,,,603001
,,,301001
,,,501001
,,,602012
,,,601002
,,,602010
,,,601014
,,,601016
,,,602019
,,,502001
,,,502006XL
,,,309001
,,,309003
,,,101137
,,,602021
,,,509002
,,,109001
,,,109002
,,,101135
,,,509003
,,,602017
,,,602008
SO-0017131,CU 0104189,3/4/09,
,,,902020
SO-0017132,CU 0104762,3/4/09,
,,,403001
SO-0017133,CU 0104186,3/4/09,
,,,402002
SO-0017134,CU 0102388,3/4/09,
,,,403001
,,,401001Y
SO-0017135,CU 0102058,3/4/09,
,,,309003
SO-0017136,CU 0104641,3/4/09,
,,,403001
SO-0017137,CU 0104691,3/4/09,
,,,403001
SO-0017138,CU 0103674,3/4/09,
,,,403001
SO-0017139,CU 0101551,3/4/09,
,,,109001
SO-0017140,CU 0101680,3/4/09,
,,,501001
,,,502005
SO-0017142,CU 0103698,3/5/09,
,,,601003L
,,,602016
,,,302002
,,,601019
,,,804011
SO-0017143,CU 0104763,3/5/09,
,,,903001
SO-0017144,CU 0101793,3/5/09,
,,,409110
,,,601004
,,,602012
SO-0017145,CU 0103542,3/5/09,
,,,101001
,,,603001
,,,302001
,,,301001
,,,502001
,,,509002
,,,501001
,,,502005
,,,502006SM
,,,502006XL
,,,601003L
,,,602012
,,,602010
,,,602008
,,,601002
,,,601004
,,,902020
,,,902018
SO-0017146,CU 0104255,3/5/09,
,,,804004
SO-0017147,CU 0102817,3/5/09,
,,,902007
,,,902017
,,,601002
SO-0017148,CU 0103742,3/5/09,
,,,502001
,,,501001
,,,804010
SO-0017149,CU 0101114,3/5/09,
,,,202003
SO-0017150,CU 0103177,3/5/09,
SO-0017151,CU 0100378,3/5/09,
,,,404001
,,,804015
SO-0017152,CU 0100644,3/5/09,
,,,101163
SO-0017153,CU 0100536,3/5/09,
,,,502008
,,,502008
,,,502008
SO-0017154,CU 0100695,3/5/09,
,,,402002
SO-0017155,CU 0104764,3/5/09,
,,,902001
SO-0017156,CU 0103676,3/5/09,
,,,601002
SO-0017157,CU 0100848,3/5/09,
,,,403001
SO-0017158,CU 0104765,3/5/09,
,,,902019
SO-0017159,CU 0103718,3/5/09,
