SO 0000131,17500,17500,INLOT-00002115
SO 0000132,9975,9975,INLOT-00002116
SO 0000133,17500,17500,INLOT-00002117
SO 0000133,9975,9975,INLOT-00002118
SO 0000134,17500,17500,INLOT-00002119
SO 0000135,17500,17500,INLOT-00002120
SO 0000136,17500,17500,INLOT-00002121
SO 0000137,17500,17500,INLOT-00002122
SO 0000138,17500,17500,INLOT-00002123
SO 0000139,8500,8500,INLOT-00124771
SO 0000139,6500,13000,INLOT-00021852
SO 0000139,6500,-13000,INLOT-00036105
SO 0000142,17500,17500,INLOT-00002129
SO 0000144,17500,17500,INLOT-00002131
SO 0000145,1250,1250,INLOT-00052561
SO 0000145,9,9,INLOT-00052621
SO 0000145,6500,6500,INLOT-00052562
SO 0000145,8500,8500,INLOT-00052563
SO 0000145,2950,2950,INLOT-00052566
SO 0000145,1700,1700,INLOT-00052567
SO 0000145,1450,2900,INLOT-00052568
SO 0000145,500,500,INLOT-00052569
SO 0000145,199,398,INLOT-00052570
SO 0000146,17500,17500,INLOT-00002133
SO 0000147,17500,17500,INLOT-00002134
SO 0000148,17500,17500,INLOT-00002135
SO 0000149,17500,17500,INLOT-00002136
SO 0000150,17500,17500,INLOT-00002137
SO 0000151,17500,17500,INLOT-00002138
SO 0000152,17500,17500,INLOT-00002139
SO 0000154,17500,17500,INLOT-00002141
SO 0000156,4950,4950,INLOT-00002143
SO 0000157,17500,17500,INLOT-00002144
SO 0000158,17500,17500,INLOT-00002145
SO 0000159,17500,17500,INLOT-00002146
SO 0000160,17500,17500,INLOT-00002147
SO 0000161,17500,17500,INLOT-00002148
SO 0000162,17500,17500,INLOT-00002149
SO 0000163,17500,17500,INLOT-00002150
SO 0000164,17500,17500,INLOT-00002151
SO 0000165,17500,17500,INLOT-00002152
SO 0000166,17500,17500,INLOT-00002153
SO 0000166,4950,4950,INLOT-00002154
SO 0000167,17500,17500,INLOT-00002155
SO 0000168,17500,17500,INLOT-00002156
SO 0000169,17500,17500,INLOT-00002157
SO 0000170,17500,17500,INLOT-00002158
SO 0000170,1250,1250,INLOT-00169522
SO 0000171,17500,17500,INLOT-00002159
SO 0000172,17500,17500,INLOT-00002160
SO 0000173,17500,17500,INLOT-00002161
SO 0000173,1450,1450,INLOT-00107462
SO 0000173,500,500,INLOT-00107463
SO 0000173,900,900,INLOT-00107465
SO 0000173,2950,2950,INLOT-00107466
SO 0000173,1700,1700,INLOT-00107467
SO 0000173,1250,1250,INLOT-00107468
SO 0000173,175,175,INLOT-00107469
SO 0000173,125,125,INLOT-00107470
SO 0000173,250,250,INLOT-00107781
SO 0000173,200,800,INLOT-00107782
SO 0000173,200,200,INLOT-00107783
SO 0000173,40,80,INLOT-00107784
SO 0000173,45,45,INLOT-00107785
SO 0000174,17500,17500,INLOT-00002162
SO 0000174,4950,4950,INLOT-00002164
